ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,County Number [Public School] 2017-18,County Name [Public School] 2017-18,School Type [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,State School ID [Public School] 2017-18,State Agency ID [Public School] 2017-18,Virtual School Status (SY 2016-17 onward) [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,Prekindergarten Students [Public School] 2017-18,Kindergarten Students [Public School] 2017-18,Grade 1 Students [Public School] 2017-18,Grade 2 Students [Public School] 2017-18,Grade 3 Students [Public School] 2017-18,Grade 4 Students [Public School] 2017-18,Grade 5 Students [Public School] 2017-18,Grade 6 Students [Public School] 2017-18,Grade 7 Students [Public School] 2017-18,Grade 8 Students [Public School] 2017-18,Grade 9 Students [Public School] 2017-18,Grade 10 Students [Public School] 2017-18,Grade 11 Students [Public School] 2017-18,Grade 12 Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18
WINFREE ACADEMY CHARTER SCHOOL (LEWISVILLE),Texas,480020208757,48121,Denton County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057828-057828002,TX-057828,NOTVIRTUAL,Yes participating without using any Provision or the CEO,141,71,10,81,†,141,†,†,†,†,†,†,†,†,†,†,31,19,64,27,75,66,1,2,63,17,50,1,7,141,7.73
WINFREE ACADEMY CHARTER SCHOOL (RICHARDSON),Texas,480020208505,48113,Dallas County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057828-057828003,TX-057828,NOTVIRTUAL,Yes participating without using any Provision or the CEO,240,76,18,94,†,240,†,†,†,†,†,†,†,†,†,†,37,49,105,49,107,133,="0",4,97,45,91,="0",3,240,11.40
WINFREE ACADEMY CHARTER SCHOOL - GRAND PRAIRIE,Texas,480020209187,48439,Tarrant County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057828-057828004,TX-057828,NOTVIRTUAL,Yes participating without using any Provision or the CEO,329,162,46,208,†,329,†,†,†,†,†,†,†,†,†,†,82,52,130,65,148,181,2,7,151,99,61,="0",9,329,11.40
WINFREE ACADEMY CHARTER SCHOOL DALLAS,Texas,480020211380,48113,Dallas County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057828-057828006,TX-057828,NOTVIRTUAL,Yes participating without using any Provision or the CEO,128,83,10,93,†,128,†,†,†,†,†,†,†,†,†,†,15,16,69,28,65,63,="0",2,45,74,5,="0",2,128,7.06
WINFREE ACADEMY NORTH RICHLAND HILLS,Texas,480020211185,48439,Tarrant County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057828-057828005,TX-057828,NOTVIRTUAL,Yes participating without using any Provision or the CEO,262,127,31,158,†,262,†,†,†,†,†,†,†,†,†,†,44,53,91,74,121,141,2,3,82,28,135,3,9,262,10.81
WINGS (WHERE I NOW GAIN SUCCESS),TEXAS,481686013370,48113,Dallas County,4-Alternative/other school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-057906-057906003,TX-057906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,97,45,2,47,†,97,†,†,†,†,†,†,†,†,†,†,†,6,27,64,53,44,1,="0",29,59,7,="0",1,97,3.29
WINK EL,Texas,484617005268,48495,Winkler County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-248902-248902101,TX-248902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,262,82,16,98,211,†,21,30,29,34,32,41,39,36,†,†,†,†,†,†,141,121,="0",="0",116,3,139,="0",4,262,17.70
WINK H S,Texas,484617005269,48495,Winkler County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-248902-248902001,TX-248902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,172,31,5,36,60,112,†,†,†,†,†,†,†,†,31,29,32,28,19,33,96,76,3,="0",69,5,94,="0",1,172,22.23
WINN EL,Texas,480894000365,48453,Travis County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-227901-227901157,TX-227901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,259,203,15,218,154,†,65,40,34,31,35,30,24,†,†,†,†,†,†,†,151,108,3,1,177,54,18,="0",6,259,20.18
WINNETKA EL,Texas,481623001388,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057905-057905229,TX-057905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),820,748,12,760,597,†,132,91,99,113,124,138,123,†,†,†,†,†,†,†,407,413,2,="0",803,7,7,="0",1,820,48.00
WINNSBORO EL,Texas,484620005937,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250907-250907103,TX-250907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,605,308,70,378,426,†,59,120,97,111,115,103,†,†,†,†,†,†,†,†,301,304,3,2,109,14,457,="0",20,605,40.00
WINNSBORO H S,Texas,484620005272,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250907-250907001,TX-250907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,463,177,35,212,†,463,†,†,†,†,†,†,†,†,†,†,117,115,126,105,250,213,2,4,68,12,370,1,6,463,32.72
WINNSBORO J H,Texas,484620005270,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250907-250907041,TX-250907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,454,233,55,288,454,†,†,†,†,†,†,†,100,116,117,121,†,†,†,†,244,210,4,5,80,14,337,="0",14,454,36.77
WINONA EL,Texas,484623005273,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212910-212910101,TX-212910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,387,268,22,290,231,†,64,92,87,78,66,†,†,†,†,†,†,†,†,†,204,183,1,3,113,61,196,1,12,387,25.41
WINONA H S,Texas,484623005274,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212910-212910001,TX-212910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,309,185,26,211,†,309,†,†,†,†,†,†,†,†,†,†,72,83,91,63,170,139,1,2,86,76,141,1,2,309,25.39
WINONA INT,Texas,484623011423,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212910-212910103,TX-212910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,160,114,11,125,160,†,†,†,†,†,†,72,88,†,†,†,†,†,†,†,72,88,="0",2,59,32,64,="0",3,160,8.77
WINONA MIDDLE,Texas,484623005825,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212910-212910041,TX-212910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,218,137,19,156,218,†,†,†,†,†,†,†,†,78,71,69,†,†,†,†,108,110,="0",2,63,48,100,="0",5,218,18.58
WINSTON EL,Texas,481815001632,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015905-015905116,TX-015905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),433,416,="0",416,348,†,25,60,69,67,84,70,58,†,†,†,†,†,†,†,218,215,="0",1,421,7,4,="0",="0",433,32.16
WINTERS EL,Texas,484626005275,48399,Runnels County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-200904-200904101,TX-200904,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),248,181,="0",181,183,†,36,29,39,32,29,44,39,†,†,†,†,†,†,†,116,132,="0",1,139,1,102,="0",5,248,24.62
WINTERS H S,Texas,484626005276,48399,Runnels County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-200904-200904001,TX-200904,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),165,108,="0",108,†,165,†,†,†,†,†,†,†,†,†,†,50,47,28,40,82,83,="0",="0",105,3,53,="0",4,165,17.02
WINTERS J H,Texas,484626021472,48399,Runnels County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-200904-200904041,TX-200904,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),131,88,="0",88,131,†,†,†,†,†,†,†,†,39,43,49,†,†,†,†,72,59,="0",2,89,2,36,="0",2,131,11.38
WISDOM H S,Texas,482364002518,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101912-101912009,TX-101912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),1972,1832,59,1891,†,1972,†,†,†,†,†,†,†,†,†,†,624,549,434,365,1106,866,6,105,1465,286,100,4,6,1972,96.67
WISE EL,Texas,481365000858,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212909-212909101,TX-212909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,510,311,57,368,369,†,65,76,76,77,75,69,72,†,†,†,†,†,†,†,243,267,="0",2,236,83,173,2,14,510,35.27
WM B TRAVIS EL,Texas,482916003299,48203,Harrison County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-102902-102902108,TX-102902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,678,443,49,492,587,†,†,91,98,116,116,116,141,†,†,†,†,†,†,†,368,310,6,3,284,182,174,1,28,678,40.45
WM DAVID SURRATT EL,Texas,481443000933,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071901-071901101,TX-071901,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),1022,888,="0",888,777,†,112,133,124,160,162,167,164,†,†,†,†,†,†,†,498,524,1,="0",972,3,26,="0",20,1022,56.96
WODEN EL,Texas,484632005277,48347,Nacogdoches County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-174906-174906101,TX-174906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,359,190,36,226,264,†,48,47,57,42,46,60,59,†,†,†,†,†,†,†,142,217,="0",2,88,2,255,="0",12,359,27.82
WODEN H S,Texas,484632005278,48347,Nacogdoches County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-174906-174906001,TX-174906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,209,82,20,102,†,209,†,†,†,†,†,†,†,†,†,†,49,61,56,43,110,99,="0",1,41,3,163,="0",1,209,22.44
WODEN J H,Texas,484632006342,48347,Nacogdoches County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-174906-174906041,TX-174906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,179,91,11,102,179,†,†,†,†,†,†,†,†,60,61,58,†,†,†,†,88,91,="0",2,42,1,130,="0",4,179,13.48
WOLF RANCH EL,Texas,482060007489,48491,Williamson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-246904-246904105,TX-246904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,286,110,32,142,224,†,19,43,42,30,46,53,53,†,†,†,†,†,†,†,147,139,4,3,94,24,145,1,15,286,30.91
WOLFE CITY EL,Texas,484635005279,48231,Hunt County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-116909-116909101,TX-116909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,323,169,47,216,243,†,30,50,51,35,56,48,53,†,†,†,†,†,†,†,168,155,2,2,49,12,252,="0",6,323,23.94
WOLFE CITY H S,Texas,484635005280,48231,Hunt County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-116909-116909001,TX-116909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,204,80,13,93,†,204,†,†,†,†,†,†,†,†,†,†,53,42,60,49,118,86,2,1,43,9,145,="0",4,204,18.32
WOLFE CITY MIDDLE,Texas,484635005622,48231,Hunt County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-116909-116909041,TX-116909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,147,59,21,80,147,†,†,†,†,†,†,†,†,41,56,50,†,†,†,†,85,62,1,="0",17,5,122,="0",2,147,13.54
WOLFFARTH EL,Texas,482850010941,48303,Lubbock County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-152901-152901190,TX-152901,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),385,352,1,353,276,†,56,53,53,65,45,62,51,†,†,†,†,†,†,†,189,196,1,2,305,59,18,="0",="0",385,26.00
WOLFLIN EL,Texas,480813000186,48375,Potter County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-188901-188901135,TX-188901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,365,200,46,246,291,†,22,52,66,55,54,56,60,†,†,†,†,†,†,†,194,171,1,4,117,27,204,1,11,365,25.09
WOMEN'S HAVEN,Texas,481970021057,48439,Tarrant County,4-Alternative/other school,†,†,†,TX-220905-220905211,TX-220905,NOTVIRTUAL,No,="0",–,–,–,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",2.00
WOOD EL,Texas,480870005391,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-220901-220901133,TX-220901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,802,272,48,320,664,†,38,100,94,100,115,109,117,129,†,†,†,†,†,†,434,368,9,41,238,80,399,="0",35,802,48.99
WOOD MIDDLE,Texas,483294005562,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015910-015910047,TX-015910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,974,513,98,611,974,†,†,†,†,†,†,†,†,301,308,365,†,†,†,†,481,493,1,24,636,98,189,3,23,974,62.86
WOODARD EL,Texas,481611012935,48201,Harris County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-101907-101907157,TX-101907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1089,316,67,383,847,†,67,175,146,148,193,182,178,†,†,†,†,†,†,†,589,500,6,174,307,209,362,="0",31,1089,55.40
WOODCREEK EL,Texas,482517010770,48157,Fort Bend County,1-Regular school,†,2-No,6-Not a Title I school,TX-101914-101914129,TX-101914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1200,101,14,115,1026,†,18,156,183,202,218,209,214,†,†,†,†,†,†,†,646,554,7,281,205,116,542,="0",49,1200,75.84
WOODCREEK J H,Texas,482517011937,48157,Fort Bend County,1-Regular school,†,2-No,6-Not a Title I school,TX-101914-101914052,TX-101914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1477,108,21,129,1477,†,†,†,†,†,†,†,†,492,486,499,†,†,†,†,774,703,5,225,317,135,753,1,41,1477,85.24
WOODCREEK MIDDLE,Texas,482391011268,48201,Harris County,1-Regular school,†,2-No,6-Not a Title I school,TX-101913-101913048,TX-101913,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1736,436,76,512,1736,†,†,†,†,†,†,†,†,592,590,554,†,†,†,†,922,814,3,87,518,695,390,7,36,1736,92.77
WOODCREST EL,Texas,483543004024,48245,Jefferson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-123908-123908107,TX-123908,NOTVIRTUAL,Yes participating without using any Provision or the CEO,339,119,13,132,257,†,†,82,81,96,80,†,†,†,†,†,†,†,†,†,181,158,1,4,72,5,252,="0",5,339,21.55
WOODEN EL,Texas,483666006164,48139,Ellis County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-070911-070911102,TX-070911,NOTVIRTUAL,Yes participating without using any Provision or the CEO,552,229,44,273,470,†,19,63,93,91,97,92,97,†,†,†,†,†,†,†,289,263,4,2,290,36,203,="0",17,552,31.68
WOODGATE INT,Texas,483064007033,48309,McLennan County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-161903-161903106,TX-161903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,636,206,72,278,636,†,†,†,†,†,†,†,319,317,†,†,†,†,†,†,337,299,2,31,182,101,298,2,20,636,40.96
WOODLAKE EL,Texas,482499005514,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015916-015916107,TX-015916,NOTVIRTUAL,Yes participating without using any Provision or the CEO,601,368,61,429,476,†,43,82,82,76,98,113,107,†,†,†,†,†,†,†,296,305,="0",15,273,194,85,2,32,601,41.38
WOODLAKE HILLS MIDDLE,Texas,482499007189,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015916-015916043,TX-015916,NOTVIRTUAL,Yes participating without using any Provision or the CEO,815,496,102,598,815,†,†,†,†,†,†,†,†,246,239,330,†,†,†,†,390,425,4,16,467,220,77,2,29,815,62.53
WOODLAND ACRES EL,Texas,482025001992,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101910-101910110,TX-101910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,469,325,41,366,372,†,19,78,69,73,73,74,83,†,†,†,†,†,†,†,222,247,1,1,438,14,15,="0",="0",469,29.00
WOODLAND ACRES MIDDLE,Texas,482025001993,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101910-101910043,TX-101910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,534,393,41,434,534,†,†,†,†,†,†,†,†,164,176,194,†,†,†,†,272,262,3,4,482,24,20,="0",1,534,33.77
WOODLAND HEIGHTS EL,Texas,481170000677,48049,Brown County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-025902-025902107,TX-025902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,430,203,37,240,293,†,43,94,97,95,101,†,†,†,†,†,†,†,†,†,236,194,="0",1,165,9,232,="0",23,430,29.60
WOODLAND HILLS EL,Texas,482391002651,48201,Harris County,1-Regular school,†,2-No,6-Not a Title I school,TX-101913-101913105,TX-101913,NOTVIRTUAL,Yes participating without using any Provision or the CEO,565,123,41,164,491,†,†,74,87,99,97,111,97,†,†,†,†,†,†,†,294,271,1,17,181,20,335,2,9,565,37.00
WOODLAND SPRINGS EL,Texas,482526011020,48439,Tarrant County,1-Regular school,†,2-No,6-Not a Title I school,TX-220907-220907119,TX-220907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,586,59,25,84,475,†,†,111,111,115,114,135,†,†,†,†,†,†,†,†,291,295,4,21,102,55,387,="0",17,586,39.53
WOODLANDS EL,Texas,480813008350,48375,Potter County,1-Regular school,†,2-No,6-Not a Title I school,TX-188901-188901142,TX-188901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,416,89,15,104,329,†,1,86,84,77,79,89,†,†,†,†,†,†,†,†,205,211,="0",26,79,25,271,="0",15,416,25.00
WOODLAWN ACADEMY,Texas,483873004411,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015907-015907175,TX-015907,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),670,583,="0",583,620,†,†,50,83,79,76,99,80,82,72,49,†,†,†,†,339,331,="0",="0",653,5,10,="0",2,670,48.35
WOODLAWN EL,Texas,481527001093,48355,Nueces County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-178904-178904140,TX-178904,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),330,264,="0",264,270,†,4,56,57,53,62,48,50,†,†,†,†,†,†,†,167,163,="0",5,251,12,58,1,3,330,21.77
WOODLAWN HILLS EL,Texas,483873004412,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015907-015907176,TX-015907,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),497,465,="0",465,390,†,43,64,75,64,95,82,74,†,†,†,†,†,†,†,266,231,="0",2,485,6,3,="0",1,497,33.00
WOODRIDGE EL,Texas,481686009467,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057906-057906109,TX-057906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,696,449,58,507,610,†,†,86,108,110,132,117,143,†,†,†,†,†,†,†,361,335,3,2,101,565,9,="0",16,696,43.46
WOODRIDGE EL,Texas,480759000050,48029,Bexar County,1-Regular school,2-No,1-Yes,2-Title I targeted assistance school,TX-015901-015901104,TX-015901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,916,153,32,185,916,†,†,†,158,183,175,189,211,†,†,†,†,†,†,†,484,432,5,40,348,27,477,4,15,916,64.44
WOODRIDGE FOREST MIDDLE,Texas,483240012876,48339,Montgomery County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-170908-170908044,TX-170908,NOTVIRTUAL,Yes participating without using any Provision or the CEO,842,422,49,471,842,†,†,†,†,†,†,†,†,293,299,250,†,†,†,†,430,412,3,41,449,68,264,="0",17,842,56.47
WOODROE PETTY EL,Texas,484206004789,48409,San Patricio County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-205907-205907101,TX-205907,NOTVIRTUAL,Yes under Provision 2,557,520,="0",520,404,†,60,93,77,89,88,73,77,†,†,†,†,†,†,†,282,275,1,="0",486,4,63,1,2,557,34.45
WOODROW WILSON DAEP,Texas,484251009544,48167,Galveston County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-084906-084906006,TX-084906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,55,40,2,42,16,39,†,†,†,†,†,†,1,3,8,4,17,14,4,4,38,17,="0",="0",10,39,6,="0",="0",55,12.00
WOODROW WILSON H S,Texas,481623001387,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057905-057905022,TX-057905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),1865,1033,41,1074,†,1865,†,†,†,†,†,†,†,†,†,†,522,458,481,404,913,952,9,20,1172,129,505,="0",30,1865,110.78
WOODS EL,Texas,484347004951,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212905-212905119,TX-212905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,677,336,48,384,480,†,93,104,95,94,103,102,86,†,†,†,†,†,†,†,347,330,1,18,111,225,295,2,25,677,40.65
WOODSBORO EL,Texas,484638005281,48391,Refugio County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-196902-196902102,TX-196902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),258,205,="0",205,201,†,23,34,31,33,32,41,22,42,†,†,†,†,†,†,123,135,="0",1,129,12,113,="0",3,258,17.04
WOODSBORO H S,Texas,484638005282,48391,Refugio County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-196902-196902001,TX-196902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,192,129,2,131,58,134,†,†,†,†,†,†,†,†,22,36,26,29,44,35,96,96,="0",1,100,5,82,="0",4,192,22.59
WOODSON CENTER FOR EXCELLENCE,Texas,480744007123,48441,Taylor County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-221901-221901003,TX-221901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,161,121,18,139,14,147,†,†,†,†,†,†,†,†,†,14,24,10,46,67,95,66,1,1,80,23,56,="0",="0",161,18.00
WOODSON SCHOOL,Texas,484641005285,48447,Throckmorton County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-224902-224902001,TX-224902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,162,87,18,105,96,54,4,8,6,12,11,11,15,15,13,13,13,14,14,13,84,78,="0",="0",36,="0",123,="0",3,162,16.16
WOODSON SCHOOL,Texas,482364002417,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101912-101912127,TX-101912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),744,665,8,673,645,†,45,54,87,61,67,67,77,113,78,95,†,†,†,†,405,339,="0",3,90,634,7,1,9,744,46.87
WOODSTONE EL,Texas,483294003662,48029,Bexar County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-015910-015910124,TX-015910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,600,322,67,389,525,†,2,73,83,97,98,133,114,†,†,†,†,†,†,†,299,301,2,10,366,53,144,2,23,600,40.05
WOODVIEW EL,Texas,484110004706,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101920-101920117,TX-101920,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),620,581,="0",581,489,†,41,90,87,99,107,105,91,†,†,†,†,†,†,†,328,292,5,7,525,28,47,="0",8,620,45.50
WOODVILLE EL,Texas,484644005288,48457,Tyler County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-229903-229903102,TX-229903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,382,270,23,293,210,†,91,81,105,105,†,†,†,†,†,†,†,†,†,†,206,176,14,4,35,77,228,="0",24,382,25.35
WOODVILLE H S,Texas,484644005286,48457,Tyler County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-229903-229903001,TX-229903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,344,204,15,219,†,344,†,†,†,†,†,†,†,†,†,†,79,97,80,88,179,165,9,3,26,88,207,="0",11,344,30.94
WOODVILLE INT,Texas,484644006058,48457,Tyler County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-229903-229903103,TX-229903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,294,213,9,222,294,†,†,†,†,†,96,100,98,†,†,†,†,†,†,†,143,151,10,="0",27,70,173,1,13,294,22.80
WOODVILLE MIDDLE,Texas,484644005287,48457,Tyler County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-229903-229903041,TX-229903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,321,216,7,223,321,†,†,†,†,†,†,†,†,116,102,103,†,†,†,†,176,145,12,3,29,71,190,="0",16,321,24.05
WOODWAY EL,Texas,481970021060,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220905-220905216,TX-220905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),692,517,82,599,476,†,131,85,96,90,101,89,100,†,†,†,†,†,†,†,360,332,="0",11,343,261,51,="0",26,692,41.28
WOODWAY EL,Texas,483064003462,48309,McLennan County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-161903-161903101,TX-161903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,581,158,48,206,422,†,48,111,111,104,88,119,†,†,†,†,†,†,†,†,298,283,1,24,107,52,384,="0",13,581,33.06
WOOLDRIDGE EL,Texas,480894000366,48453,Travis County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-227901-227901152,TX-227901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,532,475,31,506,459,†,†,73,86,98,80,107,88,†,†,†,†,†,†,†,282,250,="0",21,442,38,23,1,7,532,35.63
